44.38,34.33,Алушта,31440,
49.46,30.17,Біла Церква,200131,
49.54,28.49,Бердичів,87575,#некомент
 
#
46.49,36.58,#Бердянськ,121692,
49.15,28.41,Вінниця,356665,
#45.40,34.29,Джанкой,43343,
50.45,30.52,Київ,2884164,
48.73,37.57,Харків,1441362,
49.84,24.03,Львів,721301,
46.48,30.73,Одеса,993120,
49.56,25.59,Тернопіль,218022,
,
48.52,32.26,Черкаси,286243,
50.92,34.80,Полтава,286834,
49.06,33.41,Кропивницький,235157,
51.50,31.29,Чернігів,293549,
47.90,33.39,Кіровоград,233210,
,
48.57,39.32,Дніпро,1001816,
50.35,30.96,Житомир,273884,
48.45,35.04,Дніпродзержинськ,95817,
50.75,25.34,Луцьк,217103,
48.31,25.94,Івано-Франківськ,230911,
,
49.42,27.00,Вінниця,356665,
47.83,35.17,Запоріжжя,746460,
50.61,26.26,Рівне,246737,
49.43,32.06,Кам'янець-Подільський,99295,
46.62,32.65,Миколаїв,494763,
,
48.47,35.00,Кривий Ріг,645871,
48.04,37.75,Донецьк,929063,
48.86,31.54,Вінниця,210669,
49.23,28.47,Хмельницький,267973,
46.97,32.00,Херсон,283708,
,
48.29,25.94,Тернопіль,138775,
50.60,26.16,Луцьк,208816,
48.45,22.72,Ужгород,114205,
48.15,24.34,Коломия,60891,
50.04,36.23,Суми,268930,
,
50.30,30.32,Бровари,85436,
49.63,33.49,Полтава,288645,
50.58,26.22,Нововолинськ,55011,
49.25,28.42,Вінниця,101580,
48.85,24.71,Івано-Франківськ,237284,
